127.0.0.1, -, 23/05/05, 22:23:10, W3SVC, VIVASANMARTIN, 127.0.0.1, 26020, 694, 299, 200, 0, POST, /HtmlaScripts/htmla.dll, http/logu,
127.0.0.1, -, 23/05/05, 22:23:10, W3SVC, VIVASANMARTIN, 127.0.0.1, 13385, 547, 3799, 200, 0, GET, /htmla/htmla.htm, -,
127.0.0.1, -, 23/05/05, 22:23:49, W3SVC, VIVASANMARTIN, 127.0.0.1, 49, 198, 2098, 200, 0, GET, /_vti_inf.html, -,
127.0.0.1, -, 23/05/05, 22:23:49, W3SVC, VIVASANMARTIN, 127.0.0.1, 12, 341, 103, 501, 50, POST, /_vti_bin/shtml.exe/_vti_rpc, -,
127.0.0.1, -, 23/05/05, 22:23:58, W3SVC, VIVASANMARTIN, 127.0.0.1, 54, 198, 2098, 200, 0, GET, /_vti_inf.html, -,
127.0.0.1, -, 23/05/05, 22:23:58, W3SVC, VIVASANMARTIN, 127.0.0.1, 11, 341, 103, 501, 50, POST, /_vti_bin/shtml.exe/_vti_rpc, -,
127.0.0.1, -, 23/05/05, 22:24:12, W3SVC, VIVASANMARTIN, 127.0.0.1, 49, 198, 2098, 200, 0, GET, /_vti_inf.html, -,
127.0.0.1, -, 23/05/05, 22:24:12, W3SVC, VIVASANMARTIN, 127.0.0.1, 12, 341, 103, 501, 50, POST, /_vti_bin/shtml.exe/_vti_rpc, -,
127.0.0.1, -, 23/05/05, 22:24:33, W3SVC, VIVASANMARTIN, 127.0.0.1, 56, 198, 2098, 200, 0, GET, /_vti_inf.html, -,
127.0.0.1, -, 23/05/05, 22:24:33, W3SVC, VIVASANMARTIN, 127.0.0.1, 9, 341, 103, 501, 50, POST, /_vti_bin/shtml.exe/_vti_rpc, -,
127.0.0.1, -, 23/05/05, 22:25:09, W3SVC, VIVASANMARTIN, 127.0.0.1, 234, 263, 3982, 200, 0, GET, /, -,
127.0.0.1, -, 23/05/05, 22:25:33, W3SVC, VIVASANMARTIN, 127.0.0.1, 87, 402, 802, 200, 0, GET, /index.htm, -,
